Tweet,Lemmatized_Tokens,Polarity,Polarity_Intensity,Emotion
"@INoodlehill Το μεταναστευτικό θέμα έχει πολλές εκφάνσεις, το μόνο σίγουρο είναι ότι το ελληνικό κράτος θέλει νοικοκύρεμα, δεν φταίει ο μετανάστης για την κατάσταση αλλά κάπως πρέπει να μπουν κανόνες που να τηρούνται από όσους μένουν σε αυτό το κομμάτι γης.","['μεταναστευτικό', 'θέμα', 'πολλός', 'εκφάνσει', 'μόνο', 'σίγουρο', 'ότι', 'ελληνικό', 'κράτος', 'θέλω', 'νοικοκύρεμα', 'φταίει', 'μετανάστης', 'την', 'κατάσταση', 'κάπως', 'μπω', 'κανόνε', 'τηρούνται', 'όσους', 'μένω', 'αυτό', 'κομμάτι', 'γης']",-1,-1,θλίψη
Πέτσας : Δεν θα μείνει κανένας οικονομικός μετανάστης στην Ελλάδα,"['πέτσας', 'μείνω', 'οικονομικός', 'μετανάστης', 'Ελλάδα']",1,1,θλίψη
Σύρος μετανάστης δικάζεται για σωρεία αδικημάτων με θύμα τη σύζυγό του,"['σύρος', 'μετανάστης', 'δικάζομαι', 'σωρεία', 'αδικημάτος', 'θύμος', 'σύζυγό']",0,0,θλίψη
"Χορταίνουν την πείνα τους με εθνικισμό και χασίς !Η Αλβανία είναι μια χώρα ντροπή για την Ευρώπη Ο λαός της, φτωχός και εξαθλιωμένος, είτε την εγκαταλείπει τρέχοντας, να δουλέψει στην Ελλάδα ως μετανάστης, είτε καταλήγει στο έγκλημα !","['χορταίνω', 'πείνος', 'εθνικισμό', 'χασίς', 'Αλβανία', 'μια', 'χώρα', 'ντροπή', 'την', 'Ευρώπη', 'λαός', 'φτωχός', 'εξαθλιωμένος', 'την', 'εγκαταλείπει', 'τρέχοντα', 'δουλέψω', 'Ελλάδα', 'μετανάστης', 'καταλήγω', 'έγκλημο']",-1,-2,θλίψη
via @Dyn_Ellada_News,['news'],0,0,φόβος
@apolwlos Το λες αυτό γιατί είσαι μετανάστης,"['λες', 'γιατί', 'μετανάστης']",0,0,θλίψη
"@cowmen57 Ρε συ τώρα το είδα. Υπέθεσα ότι ο κυρ Ηλίας ήταν μετανάστης από καμιά χώρα πρώην ανατολικού μπλοκ. Δεν έκανα τον κόπο να διαβάσω το ""άρθρο"". Ούτε φαντάστηκα ποτέ ότι θα ήταν τόσο μάλαξ και θα μιλούσε για Έλληνα!!! 😋🤣🤣🤣","['συ', 'είδο', 'υπέθεσα', 'κυρ', 'Ηλίας', 'μετανάστης', 'καμί', 'χώρα', 'πρώην', 'ανατολικός', 'μπλοκ', 'έκανος', 'κόπο', 'διαβάσω', 'άρθρο', 'φαντάστηκα', 'ότι', 'ήταν', 'μάλαξ', 'μιλώ', 'έλληνας', 'rolling', 'floor', 'laughing', 'fiftyseven', 'πρόσωπο', 'τροφή', 'πάτωμα', 'κυλιομένος', 'γέλιο', 'πάτωμα']",-1,-1,θλίψη
@Gath___ Χαχαχαχα Ηλίας καριφύλης --&gt;μετανάστης. Από την Αρκαδία στην Αθήνα να υποθέσω;😋,"['χαχαχαχο', 'Ηλίας', 'καριφύλη', 'μετανάστης', 'την', 'αρκαδίος', 'Αθήνα', 'υποθέσωface', 'πρόγευση']",0,0,θλίψη
Το ζητούμενο είναι η ΟΜΑΛΗ ΕΝΣΩΜΑΤΩΣΗ &amp; η προσφορά  στην κοινωνία από την οποία ο οικονομικός μετανάστης ή «ιδιαίτερος» επενδυτής θέλει να λάβει άδεια παραμονής ή διαβατήριο,"['ζητούμενος', 'ομαλη', 'ενσωματωση', 'προσφορά', 'κοινωνία', 'την', 'οικονομικός', 'μετανάστης', 'ιδιαίτερος', 'επενδυτής', 'θέλω', 'λάβω', 'άδεια', 'παραμονός', 'διαβατήριο', 'αμπέραζ']",1,3,θλίψη
@StraydogGreece Η ΕΕ αυτό το σκορποχωρι ΨΕΎΔΕΤΑΙ πολιτικά ορθώς! Παρατυπος μετανάστης και ΜΑΛΑΚΕΣ! Δηλαδή τι πριν μπει στο αεροπλάνο ξέχασε τη βίζα του ή το διαβατήριο του? Μην κοροϊδεύουμε τους εαυτούς μας λέγοντας ψέμματα που είναι πολιτικά ορθά! Το ψεμμα είναι ψεμμα οποίος το λέει!,"['σκορποχωρι', 'ψεύδεται', 'πολιτικά', 'ορθώς', 'παρατυπο', 'μετανάστης', 'μαλακα', 'μπω', 'αεροπλάνο', 'ξέχασε', 'βίζα', 'διαβατήριο', 'μην', 'κοροϊδεύω', 'εαυτούς', 'λέγω', 'ψέμματας', 'πολιτικά', 'ορθά', 'ψεμμας', 'είναι', 'ψεμμας', 'το', 'λέω']",1,2,θλίψη
@angie22gr @Rantanp49061536 Κατάλαβα ο δίδυμος που πήγε μετανάστης στην Αμερική 😂😂😂😂😂😂,"['κατάλαβας', 'δίδυμος', 'πηγαίνω', 'μετανάστης', 'Αμερική', 'with', 'face', 'with', 'tears', 'joy', 'twentytwo', 'million', 'sixtyone', 'hundred', 'thirtysix', 'πρόσωπο', 'δάκρυα', 'χαρά', 'του', 'πρόσωπο', 'δάκρυα', 'χαρά', 'του', 'πρόσωπο', 'δάκρυα', 'χαρά', 'του']",1,3,θλίψη
Μυτιλήνη: Μετανάστης μπήκε από το παράθυρο σπιτιού για να βιάσει 20χρονη,"['μυτιλήνη', 'μετανάστης', 'μπήκε', 'παράθυρος', 'σπιτιός', 'βιάσω', 'χρονη', 'είκοσι']",0,0,θυμός
"τ μεγάλωσε σαν μετανάστης και βίωσε τον ίδιο αποκλεισμό με τους Αμερικανούς καλλιτέχνες που αποτέλεσαν το πρότυπό του. Μετά την επιτυχία, άρχισε να δέχεται ταυτόχρονα μια διπλή κριτική","['μεγάλωσε', 'μετανάστης', 'βίωσε', 'ίδιος', 'αποκλεισμό', 'τους', 'αμερικανούς', 'καλλιτέχνα', 'αποτέλεσαν', 'πρότυπό', 'μετά', 'επιτυχία', 'άρχομαι', 'δέχομαι', 'ταυτόχρονα', 'διπλή', 'κριτική']",0,0,θλίψη
@bogdanosk @sakismoumtzis Αν θυμάμαι υπήρξε συνεργασία με ΚΚΕ οπότε είχατε κ έχετε αποδεχτεί όλα τα κακώς κείμενα.,"['θυμάμαι', 'υπήρξε', 'συνεργασία', 'κκε', 'έχω', 'αποδεχτώ', 'κείμενο']",0,0,θλίψη
Παρεπιπτοντος ο Γκατζογιαννης που διέπρεψε στο εξωτερικό μεταναστης ήταν ή πρόσφυγας,"['παρεπιπτοντο', 'Γκατζογιαννης', 'διέπρεψε', 'εξωτερικό', 'μεταναστης', 'πρόσφυγας']",0,0,χαρά
@PrimeministerGR Το γνωρίζει ο οικονομικός μετανάστης αυτό? Του το λέτε όταν έρχεται?? Τον φορτώνετε στην ίδια βάρκα που ήρθε (αφού τη φουσκώσετε πρώτα) και να τον στείλετε στην Τουρκία?? Τι να τα κάνω τα λόγια??,"['γνωρίζω', 'οικονομικός', 'μετανάστης', 'του', 'λέτε', 'έρχομαι', 'φορτώνω', 'ίδιος', 'βάρκα', 'ήρθε', 'φουσκώσω', 'και', 'τον', 'στείλω', 'Τουρκία', 'κάνω', 'λόγια']",1,1,θλίψη
"@MinDevGR Όλα αυτά τα ""πανηγύρια"" αφορούν την (κοινωνική ένταξη ειδικών πληθυσμιακών ομάδων, το άσυλο και η μετανάστευση, η δημόσια διοίκηση και η “καλή διακυβέρνηση”, η ορθολογική διαχείριση των φυσικών πόρων.) Και γίνομται στην καμπούρα εμάς του λαού.","['αυτά', 'πανηγύρια', 'αφορώ', 'κοινωνικός', 'ένταξη', 'ειδικός', 'πληθυσμιακός', 'ομάδα', 'άσυλο', 'μετανάστευση', 'δημόσιος', 'διοίκηση', '""', 'καλός', 'διακυβέρνηση', '""', 'ορθολογικός', 'διαχείριση', 'φυσικός', 'πόρα', 'γίνομται', 'καμπούρα', 'του', 'λαός']",1,2,θλίψη
"@Nicol5510 Μα αφού είναι γνωστό ότι πριν το 1981 κοιμόμασταν με ανοιχτά παράθυρα,δεν υπήρχαν λαμόγια και η Ελλάδα ήταν κάτι σαν Ελβετία ας πούμε.Οι ασπρόμαυρες ταινίες με ξυπόλητα παιδάκια να τρέχουν σε χωματόδρομους,με μαζική μετανάστευση,με πολιτικούς τύπου Μαυρογιαλούρου,ήταν μετά το '81","['αφού', 'γνωστό', 'πριν', 'κοιμάμαι', 'ανοιχτά', 'παράθυραδεν', 'υπήρχαν', 'λαμόγιας', 'Ελλάδα', 'κάτι', 'Ελβετία', 'πούμεοι', 'ασπρόμαυρες', 'ταινία', 'ξυπόλητας', 'παιδάκι', 'τρέχω', 'χωματόδρομουςμε', 'μαζικός', 'μετανάστευσημε', 'πολιτικούς', 'τύπου', 'Μαυρογιαλούρουήταν', 'five', 'one', 'thousand', 'hundred', 'and', 'eightyone', 'nicol']",0,0,θλίψη
"ΈΧΕΙ καταντήσει ο μεγαλύτερος γλείφτης της κυβέρνησης και πλέον είναι φανερό ότι κάνει προπαγάνδα. Την μετανάστευση την βλέπουμε αλλιώς ανόητε,τις ορδές τριαντάρηδων και εικοσάρηδων ισλαμιστών όμως την βλέπουμε ύποπτα,δεν υπάρχει αμφιβολία τι προβλήματα θα προκαλέσουν στην χώρα..","['καταντήσω', 'μεγαλύτερο', 'γλείφτης', 'κυβέρνηση', 'πλέον', 'φανερό', 'κάνω', 'προπαγάνδος', 'μετανάστευση', 'βλέπω', 'ανόητετις', 'ορδός', 'τριαντάρηδο', 'εικοσάρηδων', 'ισλαμιστής', 'την', 'βλέπω', 'ύποπταδεν', 'υπάρχω', 'αμφιβολίος', 'προβλήματο', 'προκαλέσω', 'χώρα']",0,0,θλίψη
Ο Ορμπάν ξεκαθάρισε ότι η μετανάστευση δεν μπορεί και δεν πρέπει ποτέ να θεωρηθεί λύση στα δημογραφικά προβλήματα. Δεν πρέπει να δεχτούμε αντικαταστάσεις πληθυσμών. Πρόσθεσε ότι η κυβέρνησή του αυτή την στιγμή δουλεύει προς μία ισχυρή πολιτική γραμμή...,"['ορμπάν', 'ξεκαθάρομαι', 'μετανάστευση', 'μπορώ', 'δεν', 'ποτέ', 'θεωρηθώ', 'λύση', 'δημογραφικά', 'προβλήματο', 'πρέπει', 'δεχτούμε', 'αντικαταστάσει', 'πληθυσμός', 'πρόσθεσε', 'κυβέρνησή', 'αυτή', 'στιγμή', 'δουλεύω', 'μία', 'ισχυρός', 'πολιτική', 'γραμμή']",1,1,θλίψη
Συνεχίζεται το brain drain: Μαζική μετανάστευση Ελλήνων στη Βρετανία,"['συνεχίζομαι', 'drain', 'μαζικός', 'μετανάστευση', 'Ελλήνων', 'Βρετανία', 'εγκέφαλος']",0,0,θλίψη
Α.Σ.: ΜΕ ΤΑ ΠΑΓΚΟΣΜΙΑ ΤΑΜΕΙΑ ΔΕΝ ΘΑ ΥΠΑΡΧΕΙ ΚΑΜΙΑ ΜΕΤΑΝΑΣΤΕΥΣΗ,"['παγκοσμιας', 'ταμειο', 'υπαρχει', 'καμιος', 'μεταναστευση']",0,0,έκπληξη
Α.Σ.: Η ΜΕΤΑΝΑΣΤΕΥΣΗ ΣΥΜΒΑΙΝΕΙ ΧΡΗΜΑΤΟΔΟΤΟΥΜΕΝΗ ΜΕ ΔΙΚΑ ΣΟΥ ΧΡΗΜΑΤΑ ΔΕΝ ΔΙΝΕΙ ΛΕΦΤΑ Ο ΣΟΡΟΣ,"['μεταναστευση', 'συμβαινει', 'χρηματοδοτουμενη', 'δικο', 'χρηματα', 'δινει', 'λεφτο', 'σορο']",0,0,ουδέτερο
Το νέο παγκόσμιο σύμφωνο του ΟΗΕ για τη μετανάστευση:,"['νέος', 'παγκόσμιος', 'σύμφωνος', 'οηε', 'μετανάστευση']",1,1,θλίψη
¨Τα μέλη του ΟΗΕ όχι μόνο να ανοίγουν τα σύνορά για τους μετανάστες αλλά πρέπει να βοηθήσουν να επιλέξουν τη νέα τους χώρα παρέχοντάς πλήρεις πληροφορίες για κάθε χώρα που θέλουν να εγκατασταθούν¨😵,"['¨τα', 'μέλη', 'οηε', 'μόνο', 'ανοίγω', 'σύνορά', 'μετανάστε', 'πρέπει', 'βοηθήσω', 'επιλέξω', 'νέος', 'τους', 'χώρα', 'παρέχοντώ', 'πλήρεις', 'πληροφορία', 'κάθε', 'χώρα', 'θέλω', 'εγκατασταθούν¨dizzy', 'πρόσωπο']",1,2,θλίψη
"@madam_shou Τι γιατί ? Πείνα και Κατοχή έχουμε, παντού γύρω πόλεμοι και καταστροφή που εισάγουμε για διωγμό στους ντόπιους... Ολα τα παιδιά αγράμματα, για όλους η μετανάστευση είναι μόνη λύση.. ποιοί είναι οι μπούληδες ? Μια χαρά είναι όλα τα παιδιά, σε σύγκριση με τους μεγάλους.. 🤬🤡","['πείνος', 'κατοχή', 'παντού', 'πόλεμος', 'καταστροφή', 'εισάγω', 'διωγμό', 'ντόπιους', 'ολα', 'παιδιά', 'αγράμμαα', 'όλους', 'μετανάστευση', 'μόνη', 'λύση', 'μπούληδες', 'χαρά', 'είναι', 'όλος', 'παιδιά', 'σύγκριση', 'τους', 'μεγάλους', 'κυρία', 'πρόσωπο', 'σύμβολο', 'στόμος', 'πρόσωπο']",-1,-1,θλίψη
"Τετραπλασιάστηκε η μετανάστευση των Ελλήνων στη Μεγάλη Βρετανία τα χρόνια της κρίσης. Πόσοι είναι και που δουλεύουν, σύμφωνα με το Πανεπιστήμιο της Οξφόρδης","['τετραπλασιάστηκε', 'μετανάστευση', 'Ελλήνων', 'μεγάλη', 'Βρετανία', 'χρόνια', 'κρίση', 'είναι', 'που', 'δουλεύω', 'σύμφωνα', 'Πανεπιστήμιο', 'οξφόρδη']",-1,-1,θλίψη
Ρατσιστική επίθεση σε μετανάστρια στον ΗΣΑΠ επειδή έκλαιγε το μωρό της. Βίντεο -,"['ρατσιστικός', 'επίθεση', 'μετανάστριος', 'ησαπ', 'έκλαιγε', 'μωρό', 'βίντεο']",-1,-1,θλίψη
Ρατσιστική επίθεση σε μετανάστρια στον ΗΣΑΠ επειδή έκλαιγε το μωρό της. Βίντεο,"['ρατσιστικός', 'επίθεση', 'μετανάστριος', 'ησαπ', 'έκλαιγε', 'μωρό', 'βίντεο']",-1,-1,θλίψη
"@HelenaDaZeus ΕΛΕΝΙΤΣΑ ΓΙΑΤΙ ΜΕΤΑΝΑΣΤΡΙΑ ?? ΤΟ ΚΑΘΗΚΙ, ΚΑΙ ΟΧΙ ΛΑΘΡΟΜΕΤΑΝΑΣΤΡΙΑ ?? ΕΙΔΕΣ ΤΑ ΧΑΡΤΙΑ ΤΗΣ ?","['ελενιτσας', 'γιατι', 'μεταναστριο', 'καθηκι', 'οχι', 'λαθρομεταναστρι', 'ειδα', 'ΧΑΡΤΙΑ']",0,0,θλίψη
Ρατσιστική επίθεση σε μετανάστρια στο τρένο επειδή έκλαιγε το μωρό της (βίντεο) - dete -,"['ρατσιστικός', 'επίθεση', 'μετανάστριος', 'τρένος', 'έκλαιγε', 'μωρό', 'βίντεο']",-1,-1,θλίψη
@XaLaRa_Se_Lew @Pantafitaki Στη φωτογραφία του Instagram λέει Πτολεμαιδα. Αυτή δεν ήταν που έλεγε οτι έφυγε μετανάστρια;,"['pantafitaki', 'φωτογραφία', 'λέω', 'Πτολεμαιδα', 'δεν', 'που', 'έλεγε', 'οτι', 'έφυγε', 'μετανάστριος', 'λέω']",0,0,θλίψη
Ρατσιστική επίθεση σε μετανάστρια επειδή έκλαιγε το μωρό της στον ΗΣΑΠ (vid),"['ρατσιστικός', 'επίθεση', 'μετανάστριος', 'έκλαιγε', 'μωρό', 'στον', 'ησαπ']",-1,-1,θλίψη
@HMetanastria @giomar98436501 Η opinion poll είναι αυτή που έλεγε ότι ανέβηκε η λίμπιντο των Ελλήνων από τότε που βγήκε ο Κουλης.,"['είναι', 'έλεγε', 'ανέβηκε', 'λίμπιντο', 'Ελλήνων', 'τότε', 'που', 'βγαίνω', 'Κουλης', 'million', 'four', 'and', 'thousand', 'five', 'and', 'γνώμη']",0,0,θλίψη
Μόλις διορίσαν την κόρη του ιδιοκτήτη στο Μαξίμου. Κάτσε εσύ μετανάστρια να δέχεσαι ότι μαλακία σου λένε,"['διορίσαν', 'κόρη', 'ιδιοκτήτη', 'μαξίμος', 'κάτσε', 'μετανάστριος', 'δέχεσαι', 'μαλακία', 'λένε']",0,0,θλίψη
ΕΛΛΑΔΑ-ΚΟΣΜΟΣ Ρατσιστική επίθεση σε μετανάστρια επειδή έκλαιγε το μωρό της στον ΗΣΑΠ (vid): Ρατσιστική επίθεση εναντίον μετανάστριας και του μωρού της σημειώθηκε στον ΗΣΑΠ και κατεγράφη σε βίντεο.,"['ελλαδακοσμο', 'ρατσιστικός', 'επίθεση', 'μετανάστριος', 'έκλαιγε', 'μωρό', 'ησαπ', 'ρατσιστικός', 'επίθεση', 'μετανάστρια', 'του', 'μωρός', 'σημειώθηκε', 'στον', 'ησαπ', 'κατεγράφη', 'βίντεο']",-1,-2,θλίψη
Διαβάζω στο Twitter και εκπλήσσομαι. Υπάρχουν ακόμα Έλληνες που πιστεύουν ότι ο Μητσοτάκης θα επιστρέψει στην Τουρκία λαθροεισβολεις;;; Ο  Κυριάκος ακολουθεί την πολιτική του Τσίπρα στο μεταναστευτικό. Ξεγέλασε τον λαό και πήρε την καρέκλα. Οι δύο καταστροφείς.της Πατρίδας μου.,"['διαβάζω', 'εκπλήσσομαι', 'υπάρχω', 'Έλληνες', 'πιστεύω', 'μητσοτάκη', 'επιστρέψω', 'Τουρκία', 'λαθροεισβολει', 'Κυριάκος', 'ακολουθώ', 'πολιτική', 'τσίπρος', 'μεταναστευτικό', 'ξεγέλασε', 'λαό', 'και', 'πήρε', 'καρέκλα', 'δύο', 'καταστροφείςτης', 'Πατρίδας', 'κελάδημα']",-1,-1,θλίψη
Μεταναστευτικό: Κραυγή αγωνίας για άμεση αποσυμφόρηση,"['μεταναστευτικό', 'κραυγή', 'αγωνία', 'άμεση', 'αποσυμφόρηση']",-1,-2,θλίψη
Τάσος Γαϊτάνης: Η χώρα πλέον διαθέτει σχέδιο για το Μεταναστευτικό,"['Τάσος', 'γαϊτάνης', 'χώρα', 'διαθέτω', 'σχέδιο', 'μεταναστευτικό']",0,0,θλίψη
@kmitsotakis Αμεσο κλεισιμο συνορων θαλασσα και εβρο οπως εκανε η ιταλια οπως εκανε ο τραμπ οπως εκανε ο πουτιν επαναπροωθωση των παρανομων μεταναστων στις χωρες τους βασει συμφωνιας πληρης ελεγχος της τουρκιας στο διεθνες δικαστηριο οσον αφορσ το μεταναστευτικο με παραλληλες οικονομικες κυρω,"['αμεσος', 'κλεισιμο', 'συνορος', 'θαλασσα', 'εβρο', 'οπως', 'εκανε', 'ιταλιο', 'οπως', 'εκανε', 'τραμπ', 'οπως', 'εκανε', 'πουτιν', 'επαναπροωθωση', 'παρανομο', 'μεταναστος', 'χωρε', 'βασω', 'συμφωνια', 'πληρης', 'ελεγχο', 'τουρκια', 'διεθνες', 'δικαστηριο', 'οσον', 'αφορσ', 'μεταναστευτικο', 'παραλληλες', 'οικονομικε', 'κυρω']",0,0,ουδέτερο
@StraydogGreece @dimokratis_ Πως τάχα το 70% των Ελλήνων δεν συμφωνεί με την πολιτική της Κυβέρνησης στο Μεταναστευτικό. Ελεος!!!!!!!Σε τρείς μήνες θα έλυνε η κυβέρνηση το.....λιάζονται και το καλως ήλθατε του Τσίπρα...και εν μέσω μεγάλης κρίσης και με τον Τράμπ...εν παραφροσύνη!!!Ελεος!!!!!!!,"['πως', 'Ελλήνων', 'συμφωνώ', 'την', 'πολιτική', 'κυβέρνηση', 'μεταναστευτικό', 'ελεοςσε', 'τρείς', 'μήνε', 'έλυνε', 'κυβέρνηση', 'τολιάζομαι', 'καλως', 'ήλθατε', 'τσίπρακαι', 'μέσω', 'μεγάλης', 'κρίση', 'τράμπεν', 'παραφροσύνηελεο', 'εβδομήντα']",-1,-1,θλίψη
Το μεταναστευτικό είναι απλό ... 1/ κέντρα φιλοξενίας σε ακατοίκητα νησιά πλησίον των συνόρων με Τουρκία 2/ άδεια διαμονής σε πρόσφυγες - επενδυτες ακινήτων ετησιας διαρκείας .. άδεια παραμονής μόνο με γραπτό και προφορικό τεστ στην ελληνική γλώσσα.,"['μεταναστευτικό', 'απλό', 'κέντρο', 'φιλοξενία', 'ακατοίκητος', 'νησί', 'πλησίον', 'συνόρο', 'Τουρκία', 'άδεια', 'διαμονός', 'πρόσφυγα', 'επενδυτες', 'ακινήτος', 'ετησια', 'διαρκεία', 'άδεια', 'παραμονός', 'γραπτό', 'προφορικό', 'τεστ', 'ελληνικός', 'γλώσσα', 'ένας']",0,0,θλίψη
Αυτη δεν είναι ΕΕ. Ο καθένας κοιτάει τα δικά του σύνορα. Μόνο εμείς με τους Προδότες Ανθελληνες και Αντίχριστους  λέμε ότι δεν έχουμε σύνορα. Η Ελλάδα είναι το 10 μέλος ισχυρό σε αποφάσεις. Γιατί δεν μας υποστηρίζουν στο μεταναστευτικό;;. Έξω λοιπόν από το μόρφωμα που λέγεται ΕΕ.,"['αυτη', 'καθένα', 'κοιτώ', 'δικά', 'σύνορο', 'εμείς', 'τους', 'προδότες', 'ανθελληνες', 'αντίχριστου', 'λέμε', 'δεν', 'σύνορο', 'Ελλάδα', 'είναι', 'μέλος', 'ισχυρό', 'αποφάσει', 'δεν', 'υποστηρίζω', 'μεταναστευτικό', 'λοιπόν', 'μόρφωμα', 'λέγομαι']",1,2,θλίψη
"Χριστούγεννα, μεταναστευτικό, σφράγισμα παιδικών χαρών και πολλά άλλα στην συνεδρίαση της ΔΚ Μυτιλήνης","['Χριστούγεννα', 'μεταναστευτικό', 'σφράγισμα', 'παιδικός', 'χαρά', 'πολλά', 'στην', 'συνεδρίαση', 'Μυτιλήνης']",0,0,χαρά
Η χώρα πλέον διαθέτει σχέδιο για το Μεταναστευτικό. Συνέντευξή μου στο @ethnosgr,"['χώρα', 'διαθέτω', 'σχέδιο', 'μεταναστευτικό', 'συνέντευξή', 'στο']",0,0,θλίψη
Εσείς τρώτε ξύλο από τις γυναίκες σας. Με αυτά τα μυαλά αυτό δείχνετε ότι συμβαίνει. Λοιπόν το μεταναστευτικό και το Σκοπιανό θα γίνει ο πολιτικός σας τάφος. Αμήν και πότε να γλυτώσουμε από εσάς τους ανώμαλους και προδότες. Τα σωματεία υπέρ της Γυναίκας που είναι κωφευουν;;;;;;;,"['τρώτε', 'ξύλο', 'τις', 'γυναίκα', 'τα', 'μυαλά', 'δείχνω', 'συμβαίνει', 'μεταναστευτικό', 'σκοπιανό', 'γίνω', 'πολιτικός', 'τάφος', 'αμήν', 'πότε', 'γλυτώσω', 'εσάς', 'ανώμαλους', 'προδότες', 'σωματείο', 'της', 'Γυναίκας', 'είναι', 'κωφευω']",0,0,θλίψη
Η πιο γελοία &amp; διεφθαρμένη κυβέρνηση θα πρέπει να αντιμετωπίσει:,"['πιο', 'γελοία', 'διεφθαρμένη', 'κυβέρνηση', 'πρέπει', 'αντιμετωπίσω', 'αμπέραζ']",-1,-1,θλίψη
1. Την επαναδιαπραγμάτευση σε περίπτωση ακύρωσης της Συμφωνίας των Πρεσπών.,"['επαναδιαπραγμάτευση', 'περίπτωση', 'ακύρωση', 'συμφωνία', 'πρεσπή']",1,1,εμπιστοσύνη
Τώρα αρχίζουν τα δύσκολα... Όχι φρουρού κι αρώματα!,"['αρχίζω', 'δύσκολα', 'φρουρός', 'αρώματο']",0,0,εμπιστοσύνη
"Η #κυβερνηση_Μητσοτακη  ανακοίνωσε την χρονική επέκταση του προγράμματος στέγασης αιτούντων άσυλο ""Εστία"", το οποίο προβλέπει την ενοικίαση 40.000 (!) διαμερισμάτων σε όλη την Ελλαδα! Με μία τριμελή οικογένεια σε κάθε διαμέρισμα, μιλάμε για 120.000 (!) άτομα!","['κυβερνησημητσοτακη', 'ανακοίνωσε', 'χρονικός', 'επέκταση', 'προγράμματο', 'στέγαση', 'αιτούντος', 'άσυλο', 'εστία', 'οποίο', 'προβλέπω', 'ενοικίαση', 'διαμερισμάτος', 'όλη', 'ελλαδα', 'μία', 'τριμελός', 'οικογένεια', 'κάθε', 'διαμέρισμα', 'μιλώ', 'άτομο', 'hundred', 'twenty', 'thousand']",0,0,θλίψη
"Τόσο στο μεταναστευτικό οσο&amp; στο οικονομικό πεδίο διακρίνω ασαφιες -Αστοχίες - Προχειρότητα - συνεπεια σε Συριζαιικες Αλχημείες,διγλωσσία,υποκρισία και ΦΑΜΦΑΡΟΛΟΓΙΕΣ .","['μεταναστευτικό', 'οσοamp', 'στο', 'οικονομικό', 'πεδίο', 'διακρίνω', 'ασαφιες', 'αστοχία', 'προχειρότητα', 'συνεπειο', 'συριζαιικε', 'Αλχημείεςδιγλωσσίαυποκρισία', 'φαμφαρολογιε']",0,0,θλίψη
Ένα απέραντο hot spot η Ελλάδα: Σε ποιες περιοχές θα μεταφερθούν 20 000 λαθρο από τα νησιά.,"['απέραντο', 'Ελλάδα', 'ποιες', 'περιοχή', 'μεταφερθώ', '000', 'λαθρο', 'νησιά', 'ζεστό', 'είκοσι']",0,0,θλίψη
Χρυσοχοΐδης: «Θα συμβάλει και τώρα στο μεταναστευτικό η Λάρισα»,"['Χρυσοχοΐδης', 'συμβάλω', 'τώρα', 'μεταναστευτικό', 'Λάρισα']",0,0,θλίψη
Συναντήθηκαν για το προσφυγικό μεταναστευτικό στο γραφείο βουλευτή,"['\ufeffσυναντήθηκαν', 'προσφυγικό', 'μεταναστευτικό', 'γραφείο', 'βουλευτή']",0,0,θλίψη
"Εκεί στην κυβέρνηση, δεν σας κόβει να καταλάβετε ότι τα άρθρα που παραγγέλνετε και γράφονται στο @LiberalGr , έχουν…","['στην', 'κυβέρνηση', 'σας', 'κόβει', 'καταλάβω', 'άρθρο', 'παραγγέλνω', 'γράφομαι', 'έχω', '…']",0,0,θλίψη
Συναντήθηκαν για το προσφυγικό μεταναστευτικό στο γραφείο βουλευτή,"['συναντήθηκαν', 'προσφυγικό', 'μεταναστευτικό', 'γραφείο', 'βουλευτή']",0,0,θλίψη
ουτε εγω τη θελω.χωρις συγνωμη,"['ουτε', 'εγω', 'θελωχωρις', 'συγνωμη']",0,0,ουδέτερο
Πράσινη Αριστερά: 22 προτάσεις για Προσφυγικό και Μεταναστευτικό,"['πράσινη', 'αριστερά', 'προτάσει', 'προσφυγικό', 'μεταναστευτικό']",0,0,θλίψη
"Μεταναστης σε ρημαδοalmera σε δρομο της Κυψέλης παραβιαζει στοπ, μπαινει αναποδα στην κινηση και κορναρει και σε πε…","['μεταναστης', 'ρημαδοalmera', 'δρομος', 'κυψέλη', 'παραβιαζω', 'στοπ', 'μπαινω', 'αναποδος', 'κινηση', 'κορναρω', 'πε', '…']",0,0,αηδία
-Το μεταναστευτικό σήμερα δεν έχει σχέση με το προσφυγικό του 2015,"['μεταναστευτικό', 'σήμερα', 'έχω', 'σχέση', 'προσφυγικό', 'two', 'and']",1,1,θλίψη
-Η πολιτική ανοιχτών συνόρων του ΣΥΡΙΖΑ…,"['πολιτικός', 'ανοιχτής', 'συνόρος', 'συριζο', '…']",0,0,αηδία
"Να κ η στιγμή που άναψε το πράσινο για την ""αναίμακτη"" εισβολή ΔΝΤ στην Ελλάδα. 10 χρόνια φτώχεια, κατρακύλα, εκφασ…","['στιγμή', 'άναψε', 'πράσινο', 'την', 'αναίμακτη', 'εισβολή', 'δντ', 'Ελλάδα', 'χρόνια', 'φτώχεια', 'κατρακύλα', 'εκφασ', '…']",-1,-1,θλίψη
