Text,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Emotion
συνθλίβονται,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
συντριπτικός,1,0,1,1,0,0,0,0,"['anger', 'disgust', 'fear']"
κακότροπος,0,0,1,0,0,0,0,0,['disgust']
κραυγή,0,0,0,0,0,1,0,0,['sadness']
κλαίων,0,0,0,0,0,1,0,0,['sadness']
κρύπτη,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
κύβος,0,0,0,0,0,0,0,1,['trust']
κερατάς,0,0,1,0,0,0,0,0,['disgust']
αγκαλιάζω,0,0,0,0,1,0,0,1,"['joy', 'trust']"
σύνθημα,0,1,0,0,0,0,0,0,['anticipation']
μαγειρικός,0,0,0,0,0,0,0,1,['trust']
λατρεία,0,0,0,1,0,0,0,0,['fear']
καλλιεργώ,0,1,0,0,0,0,0,1,"['anticipation', 'trust']"
δυσκίνητος,0,0,0,0,0,1,0,0,['sadness']
βεντούζα,0,0,1,1,0,1,0,0,"['disgust', 'fear', 'sadness']"
κοπρίτης,1,0,1,1,0,0,0,0,"['anger', 'disgust', 'fear']"
θεραπεύσιμος,0,0,0,0,0,0,0,1,['trust']
περιέργεια,0,1,0,0,0,0,1,0,"['anticipation', 'surprise']"
κατάρα,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
καταραμένος,1,0,0,1,0,1,0,0,"['anger', 'fear', 'sadness']"
κατάρα,1,0,1,0,0,0,0,0,"['anger', 'disgust']"
πεισματάρης,1,0,0,0,0,0,0,0,['anger']
φύλακας,0,0,0,0,0,0,0,1,['trust']
επιμέλεια,0,0,0,0,0,0,0,1,['trust']
κόπτης,0,0,0,1,0,0,0,0,['fear']
cutthroat,1,0,0,1,0,0,0,0,"['anger', 'fear']"
τομή,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
κυανιούχο,0,0,0,1,0,0,0,0,['fear']
κυκλώνας,0,0,0,1,0,0,1,0,"['fear', 'surprise']"
κύστη,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
κυστικός της κύστεως,0,0,1,0,0,0,0,0,['disgust']
κυτταρομεγαλοϊό,0,0,0,0,0,1,0,0,['sadness']
αδέξιος,1,0,1,0,0,0,0,0,"['anger', 'disgust']"
δαίμονας,1,0,1,1,0,1,1,0,"['anger', 'disgust', 'fear', 'sadness', 'surprise']"
τρελός,0,0,1,0,0,0,0,0,['disgust']
στιλέτο,0,0,0,1,0,0,0,0,['fear']
καθημερινά,0,1,0,0,0,0,0,0,['anticipation']
βλάβη,1,0,1,0,0,1,0,0,"['anger', 'disgust', 'sadness']"
αποζημίωση,0,0,0,0,0,1,0,0,['sadness']
κυρά,1,0,1,0,0,0,0,1,"['anger', 'disgust', 'trust']"
δεκάρα,1,0,1,0,0,0,0,0,"['anger', 'disgust']"
καταδίκη,1,0,0,1,0,1,0,0,"['anger', 'fear', 'sadness']"
χορός,0,0,0,0,1,0,0,1,"['joy', 'trust']"
δανδής,0,0,1,0,0,0,0,0,['disgust']
κίνδυνος,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
επικίνδυνος,0,0,0,1,0,0,0,0,['fear']
NO TRANSLATION,0,0,1,0,0,0,0,0,['disgust']
τολμώ,0,1,0,0,0,0,0,1,"['anticipation', 'trust']"
σκοτάδι,0,0,0,0,0,1,0,0,['sadness']
αμαυρώνω,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
σκοτεινό,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
σκοτάδι,1,0,0,1,0,1,0,0,"['anger', 'fear', 'sadness']"
πολυαγαπημένος,0,0,0,0,1,0,0,1,"['joy', 'trust']"
βέλος,0,0,0,1,0,0,0,0,['fear']
διακεκομμένη,1,0,0,1,0,1,0,0,"['anger', 'fear', 'sadness']"
ποταπός,1,0,1,1,0,0,0,0,"['anger', 'disgust', 'fear']"
κόρη,0,0,0,0,1,0,0,0,['joy']
αυγή,0,1,0,0,1,0,1,1,"['anticipation', 'joy', 'surprise', 'trust']"
διάκονος,0,0,0,0,0,0,0,1,['trust']
θανάσιμα,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
συμφωνία,0,1,0,0,1,0,1,1,"['anticipation', 'joy', 'surprise', 'trust']"
σχέσεις,0,0,0,0,0,0,0,1,['trust']
θάνατος,1,1,1,1,0,1,1,0,"['anger', 'anticipation', 'disgust', 'fear', 'sadness', 'surprise']"
πανωλεθρία,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
κραιπάλη,0,0,1,1,0,0,0,0,"['disgust', 'fear']"
ομόλογο,0,1,0,0,0,0,0,0,['anticipation']
συντρίμμια,0,0,1,0,0,0,0,0,['disgust']
χρέος,0,0,0,0,0,1,0,0,['sadness']
φθορά,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
καταστράφηκε,0,0,1,0,0,1,0,0,"['disgust', 'sadness']"
μακαρίτης,0,0,0,0,0,1,0,0,['sadness']
απάτη,1,0,1,1,0,1,1,0,"['anger', 'disgust', 'fear', 'sadness', 'surprise']"
δόλιος,0,0,1,0,0,1,0,0,"['disgust', 'sadness']"
εξαπατώ,1,0,1,0,0,1,0,0,"['anger', 'disgust', 'sadness']"
εξαπάτησε,1,0,0,0,0,0,0,0,['anger']
εξαπατώντας,0,0,0,0,0,0,0,1,['trust']
αναλύω,0,0,1,0,0,0,0,0,['disgust']
αποσύνθεση,0,0,0,0,0,1,0,0,['sadness']
αποσύνθεση,0,0,1,1,0,1,0,0,"['disgust', 'fear', 'sadness']"
δόλωμα,0,0,0,0,0,0,1,0,['surprise']
κατηγορώ,1,0,0,0,0,0,0,0,['anger']
πράξη,0,0,0,0,0,0,0,1,['trust']
δυσφήμηση,0,0,1,1,0,0,0,0,"['disgust', 'fear']"
δυσφημηστικός,1,0,0,0,0,0,0,0,['anger']
Προκαθορισμένο,0,0,1,1,0,1,0,0,"['disgust', 'fear', 'sadness']"
νίκησε,0,0,0,0,0,1,0,0,['sadness']
ελάττωμα,1,0,0,0,0,0,0,0,['anger']
NO TRANSLATION,0,0,0,1,0,0,0,0,['fear']
ελαττωματικός,0,0,1,0,0,0,0,0,['disgust']
υπερασπίζω,0,0,0,1,0,0,0,0,['fear']
εναγόμενος,1,0,0,1,0,1,0,0,"['anger', 'fear', 'sadness']"
υπερασπιστεί,0,0,0,0,0,0,0,1,['trust']
υπερασπιστής,0,0,0,0,0,0,0,1,['trust']
άμυνα,1,1,0,1,0,0,0,0,"['anger', 'anticipation', 'fear']"
ανυπεράσπιστος,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
υποχώρηση,0,0,0,0,0,0,0,1,['trust']
περιφρόνηση,1,0,1,1,0,0,0,0,"['anger', 'disgust', 'fear']"
προκλητικός,1,0,0,0,0,0,0,0,['anger']
οριστικός,0,0,0,0,0,0,0,1,['trust']
υποτιμώ,1,0,0,0,0,1,0,0,"['anger', 'sadness']"
ξεφούσκωμα,0,0,0,1,0,0,0,0,['fear']
παραμόρφωση,0,0,1,0,0,0,0,0,['disgust']
παραμορφωμένος,0,0,1,0,0,1,0,0,"['disgust', 'sadness']"
παραμόρφωση,0,0,1,1,0,1,0,0,"['disgust', 'fear', 'sadness']"
εξαπατώ,1,0,1,0,0,0,0,0,"['anger', 'disgust']"
μακαρίτης,0,0,0,0,0,1,0,0,['sadness']
προκαλώ,1,0,0,1,0,1,1,0,"['anger', 'fear', 'sadness', 'surprise']"
εκφυλισμό,1,0,1,0,0,1,0,0,"['anger', 'disgust', 'sadness']"
υποβιβάζω,0,0,1,0,0,0,0,0,['disgust']
απογοητευτικό,0,0,1,1,0,1,0,0,"['disgust', 'fear', 'sadness']"
καθυστέρηση,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
αντιπρόσωπος,0,0,0,0,0,0,0,1,['trust']
επιβλαβής,1,0,1,1,0,0,0,0,"['anger', 'disgust', 'fear']"
νόστιμο,0,0,0,0,1,0,0,0,['joy']
απόλαυση,0,1,0,0,1,0,0,0,"['anticipation', 'joy']"
ευχαριστημένος,0,1,0,0,1,0,1,0,"['anticipation', 'joy', 'surprise']"
γοητευτικός,0,1,0,0,1,0,0,1,"['anticipation', 'joy', 'trust']"
εγκληματίας,1,0,1,0,0,0,0,0,"['anger', 'disgust']"
έξαλλος,0,0,0,0,0,1,0,0,['sadness']
παραλήρημα,0,0,1,0,0,1,0,0,"['disgust', 'sadness']"
απελευθέρωση,0,1,0,0,1,0,0,1,"['anticipation', 'joy', 'trust']"
διανομή,0,1,0,0,0,0,0,0,['anticipation']
κατακλυσμός,0,0,0,1,0,1,1,0,"['fear', 'sadness', 'surprise']"
αυταπάτη,1,0,0,1,0,1,0,0,"['anger', 'fear', 'sadness']"
παραπλανητική,1,0,0,1,0,0,0,0,"['anger', 'fear']"
ζήτηση,1,0,0,0,0,0,0,0,['anger']
παράφρων,0,0,0,1,0,0,0,0,['fear']
άνοια,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
θάνατος,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
κατεδαφίζω,1,0,0,0,0,1,0,0,"['anger', 'sadness']"
δαίμονας,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
δαιμονικός,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
εκδηλωτικός,0,0,0,0,1,1,0,0,"['joy', 'sadness']"
απογοητευμένοι,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
αρνήθηκε,0,0,0,0,0,1,0,0,['sadness']
καταγγέλω,1,0,1,0,0,0,0,0,"['anger', 'disgust']"
οδοντιατρική,0,0,0,1,0,0,0,0,['fear']
καταγγελία,1,0,1,1,0,0,0,0,"['anger', 'disgust', 'fear']"
αρνούμαι,1,0,0,0,0,0,0,0,['anger']
αρνούμενος,0,1,0,0,0,0,0,0,['anticipation']
παρεκκλίνω,0,1,0,0,0,1,0,0,"['anticipation', 'sadness']"
περασμένος,0,0,0,0,0,1,0,0,['sadness']
αναχώρηση,0,0,0,0,0,1,0,0,['sadness']
εξαρτώμαι,0,1,0,0,0,0,0,1,"['anticipation', 'trust']"
ΕΞΑΡΤΗΣΗ,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
εξαρτώμενος,0,0,0,0,0,0,0,1,['trust']
αξιοθρήνητος,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
θρηνώ,1,0,1,0,0,1,0,0,"['anger', 'disgust', 'sadness']"
απελαύνω,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
απέλαση,1,0,0,1,0,1,0,0,"['anger', 'fear', 'sadness']"
αποθήκη,0,0,0,0,0,0,0,1,['trust']
διεφθαρμένος,1,1,1,1,0,1,0,0,"['anger', 'anticipation', 'disgust', 'fear', 'sadness']"
διαφθορά,1,0,1,0,0,0,0,0,"['anger', 'disgust']"
υποτιμώ,1,0,1,0,0,0,0,0,"['anger', 'disgust']"
υποτιμήθηκε,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
υποτίμηση,0,0,0,1,0,0,0,0,['fear']
καταπιέζω,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
μελαγχολικός,1,0,0,1,0,1,0,0,"['anger', 'fear', 'sadness']"
κατάθλιψη,0,0,1,0,0,1,0,0,"['disgust', 'sadness']"
κατάθλιψη,0,0,0,0,0,1,0,0,['sadness']
καταθλιπτικό,0,0,0,0,0,1,0,0,['sadness']
στέρηση,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
βάθος,0,0,0,0,0,0,0,1,['trust']
αναπληρωτής,0,0,0,0,0,0,0,1,['trust']
διαταραχές,1,0,1,1,0,0,0,0,"['anger', 'disgust', 'fear']"
χλευασμός,1,0,1,0,0,0,0,0,"['anger', 'disgust']"
δερματολόγος,0,0,0,0,0,0,0,1,['trust']
προσβολή,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
υποτιμητικός,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
κατάβαση,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
βεβήλωση,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
έρημος,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
έρημο,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
αξίζω,1,1,0,0,0,0,0,1,"['anger', 'anticipation', 'trust']"
ονομασία,0,0,0,0,0,0,0,1,['trust']
απέχω,1,0,1,0,0,0,0,0,"['anger', 'disgust']"
ερήμωση,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
απελπισία,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
απελπισμένος,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
ποταπός,1,0,1,0,0,0,0,0,"['anger', 'disgust']"
NO TRANSLATION,1,0,1,0,0,0,0,0,"['anger', 'disgust']"
αυταρχικός,0,0,0,1,0,0,0,0,['fear']
δεσποτισμός,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
προορισμός,0,1,0,1,1,1,1,0,"['anticipation', 'fear', 'joy', 'sadness', 'surprise']"
προορίζονται,0,1,0,0,0,0,0,0,['anticipation']
άπορος,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
καταστράφηκε από,1,0,0,1,0,1,0,0,"['anger', 'fear', 'sadness']"
αντιτορπιλικό,1,0,0,1,0,0,0,0,"['anger', 'fear']"
καταστρέφοντας,1,0,0,1,0,1,0,0,"['anger', 'fear', 'sadness']"
καταστροφή,1,0,0,0,0,0,0,0,['anger']
καταστρεπτικός,1,0,1,1,0,0,0,0,"['anger', 'disgust', 'fear']"
κρατούμενο,1,1,0,1,0,1,0,0,"['anger', 'anticipation', 'fear', 'sadness']"
κράτηση στη φυλακή,0,0,0,0,0,1,0,0,['sadness']
χειροτερεύω,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
επιδεινωθεί,0,0,1,0,0,1,0,0,"['disgust', 'sadness']"
αλλοίωση,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
NO TRANSLATION,0,1,0,0,0,0,0,1,"['anticipation', 'trust']"
προσδιορισμός,0,0,0,0,0,0,0,1,['trust']
αντιπαθώ,1,0,1,0,0,0,0,0,"['anger', 'disgust']"
εκπυρσοκροτώ,0,0,0,1,0,0,1,0,"['fear', 'surprise']"
πυροκρότηση,1,0,0,0,0,0,0,0,['anger']
αφαιρώ,1,0,0,0,0,0,0,0,['anger']
ερημώνω,1,0,0,1,0,1,0,0,"['anger', 'fear', 'sadness']"
καταστροφικά,1,0,1,1,0,1,0,1,"['anger', 'disgust', 'fear', 'sadness', 'trust']"
καταστροφή,1,0,0,1,0,1,1,0,"['anger', 'fear', 'sadness', 'surprise']"
αναπτύσσω,0,1,0,0,0,0,0,0,['anticipation']
απόκλιση,0,0,0,0,0,1,0,0,['sadness']
διάβολος,1,1,1,1,0,1,0,0,"['anger', 'anticipation', 'disgust', 'fear', 'sadness']"
διαβολικός,0,0,1,1,0,0,0,0,"['disgust', 'fear']"
ευλαβής,0,0,0,0,0,0,0,1,['trust']
ευσεβής,0,1,0,0,1,0,0,1,"['anticipation', 'joy', 'trust']"
διαβολικός,1,0,1,1,0,0,0,0,"['anger', 'disgust', 'fear']"
διάγνωση,0,1,0,1,0,0,0,1,"['anticipation', 'fear', 'trust']"
διαμάντι,0,0,0,0,1,0,0,0,['joy']
πάνα,0,0,1,0,0,0,0,0,['disgust']
διάρροια,0,0,1,0,0,0,0,0,['disgust']
ημερολόγιο,0,0,0,0,1,0,0,1,"['joy', 'trust']"
λίβελλος,1,0,1,0,0,0,0,0,"['anger', 'disgust']"
δικτάτορας,0,0,0,1,0,0,0,0,['fear']
δικτατορικός,1,0,0,0,0,0,0,0,['anger']
δικτατορία,1,1,1,1,0,1,0,0,"['anger', 'anticipation', 'disgust', 'fear', 'sadness']"
λεξικό,0,0,0,0,0,0,0,1,['trust']
NO TRANSLATION,0,0,0,0,0,0,0,1,['trust']
NO TRANSLATION,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
διαίτης,0,1,0,0,0,0,0,0,['anticipation']
διαφορικός,0,0,0,0,0,0,0,1,['trust']
διαφορετικά,0,0,0,0,0,0,1,0,['surprise']
δύσκολος,0,0,0,1,0,0,0,0,['fear']
δυσκολίες,0,0,0,0,0,1,0,0,['sadness']
δυσκολία,1,0,0,1,0,1,0,0,"['anger', 'fear', 'sadness']"
ψηφίο,0,0,0,0,0,0,0,1,['trust']
αξιοπρέπεια,0,0,0,0,0,0,0,1,['trust']
εκτρέπομαι,0,1,0,0,0,0,0,0,['anticipation']
ανάχωμα,0,0,0,1,0,0,0,0,['fear']
σαραβαλιασμένος,0,0,1,0,0,1,0,0,"['disgust', 'sadness']"
επιμέλεια,0,0,0,0,0,0,0,1,['trust']
ελαττώνω,0,0,0,0,0,1,0,0,['sadness']
δεινόσαυρος,0,0,0,1,0,0,0,0,['fear']
διπλωματία,0,1,0,0,0,0,0,1,"['anticipation', 'trust']"
διπλωματικός,0,0,0,0,0,0,0,1,['trust']
NO TRANSLATION,0,0,1,1,0,1,1,0,"['disgust', 'fear', 'sadness', 'surprise']"
διευθυντής,0,0,0,0,0,0,0,1,['trust']
βρωμιά,0,0,1,0,0,0,0,0,['disgust']
βρώμικος,0,0,1,0,0,0,0,0,['disgust']
αναπηρία,0,0,0,0,0,1,0,0,['sadness']
καθιστώ ανίκανο,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
άτομα με ειδικές ανάγκες,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
διαφωνώ,1,0,0,0,0,0,0,0,['anger']
διαφωνώ,1,0,0,0,0,1,0,0,"['anger', 'sadness']"
διαφωνία,1,0,0,0,0,1,0,0,"['anger', 'sadness']"
απορρίφθηκε,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
εξαφανίζομαι,0,0,0,1,0,0,0,0,['fear']
απογοητεύω,1,0,1,0,0,1,0,0,"['anger', 'disgust', 'sadness']"
απογοητευμένος,1,0,1,0,0,1,0,0,"['anger', 'disgust', 'sadness']"
απογοητευτικός,0,0,0,0,0,1,0,0,['sadness']
απογοήτευση,0,0,1,0,0,1,0,0,"['disgust', 'sadness']"
αποδοκιμασία,0,0,0,0,0,1,0,0,['sadness']
αποδοκιμάζω,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
απορρίφθηκε,1,0,0,0,0,1,0,0,"['anger', 'sadness']"
απορρίπτοντας,1,0,1,0,0,1,0,0,"['anger', 'disgust', 'sadness']"
καταστροφή,1,0,1,1,0,1,1,0,"['anger', 'disgust', 'fear', 'sadness', 'surprise']"
καταστρεπτικός,1,0,0,1,0,1,0,0,"['anger', 'fear', 'sadness']"
μαθητής,0,0,0,0,0,0,0,1,['trust']
πειθαρχία,0,0,0,1,0,0,0,0,['fear']
αρνούμαι,1,0,1,0,0,0,0,1,"['anger', 'disgust', 'trust']"
φανερωθείς,0,0,0,0,0,0,0,1,['trust']
αποχρωματισμός,0,0,1,0,0,0,0,0,['disgust']
ξεθωριασμένος,0,0,1,0,0,1,0,0,"['disgust', 'sadness']"
δυσφορία,0,0,0,0,0,1,0,0,['sadness']
αποσυνδέω,0,0,0,0,0,1,0,0,['sadness']
ασύνδετος,0,0,0,0,0,1,0,0,['sadness']
δυσαρέσκεια,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
ασυνέχεια,0,0,1,1,0,1,0,0,"['disgust', 'fear', 'sadness']"
διχόνοια,1,0,1,0,0,0,0,0,"['anger', 'disgust']"
αποθαρρύνουν,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
NO TRANSLATION,0,1,0,0,0,0,0,0,['anticipation']
διακριτικότητα,0,1,0,0,0,0,0,1,"['anticipation', 'trust']"
κανω διακρισεις,1,0,0,0,0,1,0,0,"['anger', 'sadness']"
οξυδερκής,0,0,1,0,0,0,0,0,['disgust']
διάκριση,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
περιφρονώ,1,0,1,0,0,0,0,0,"['anger', 'disgust']"
ασθένεια,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
νόσων,0,0,1,1,0,1,0,0,"['disgust', 'fear', 'sadness']"
άϋλος,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
παραμορφωμένο,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
ντροπή,1,0,1,0,0,1,0,0,"['anger', 'disgust', 'sadness']"
NO TRANSLATION,1,0,1,0,0,1,0,0,"['anger', 'disgust', 'sadness']"
αισχρός,1,0,1,0,0,0,0,0,"['anger', 'disgust']"
θυμωμένος,1,0,1,0,0,1,0,0,"['anger', 'disgust', 'sadness']"
αηδία,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
αηδιαστικός,1,0,1,1,0,0,0,0,"['anger', 'disgust', 'fear']"
απογοητευμένοι,0,0,0,0,0,1,0,0,['sadness']
απογοητευτικό,0,0,0,0,0,1,0,0,['sadness']
ανέντιμος,1,0,1,0,0,1,0,0,"['anger', 'disgust', 'sadness']"
ατιμία,0,0,1,0,0,0,0,0,['disgust']
ατιμία,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
απογοήτευση,1,0,1,0,0,1,0,0,"['anger', 'disgust', 'sadness']"
παραπληροφόρηση,1,0,0,1,0,0,0,0,"['anger', 'fear']"
ανειλικρινής,0,0,1,0,0,0,0,0,['disgust']
αποσυνθέτω,0,0,1,1,0,0,0,0,"['disgust', 'fear']"
αντιπάθεια,1,0,1,0,0,0,0,0,"['anger', 'disgust']"
Αντιπαθής,1,0,0,0,0,1,0,0,"['anger', 'sadness']"
απομακρύνεται,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
μελαγχολικός,0,0,1,1,0,1,0,0,"['disgust', 'fear', 'sadness']"
φόβος,1,1,0,1,0,1,1,0,"['anger', 'anticipation', 'fear', 'sadness', 'surprise']"
διαμελισμός,0,0,1,1,0,1,0,0,"['disgust', 'fear', 'sadness']"
απόλυση,1,0,1,1,0,1,1,0,"['anger', 'disgust', 'fear', 'sadness', 'surprise']"
ανυπακοή,1,0,1,0,0,0,0,0,"['anger', 'disgust']"
ανυπάκουος,1,0,0,0,0,0,0,0,['anger']
απειθώ,1,0,1,0,0,0,0,0,"['anger', 'disgust']"
διαταραχή,0,0,0,1,0,0,0,0,['fear']
δυσφημώ,1,0,1,0,0,1,0,0,"['anger', 'disgust', 'sadness']"
δυσφημιστικός,1,0,1,0,0,1,0,0,"['anger', 'disgust', 'sadness']"
ανισότητα,1,0,1,0,0,1,0,0,"['anger', 'disgust', 'sadness']"
ψύχραιμος,0,0,0,0,0,1,0,0,['sadness']
διασκορπίζω,0,0,0,0,0,1,0,0,['sadness']
μετακινηθεί,1,0,0,1,0,1,0,0,"['anger', 'fear', 'sadness']"
μη ικανοποιημένοι,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
δυσαρέσκεια,0,0,1,0,0,0,0,0,['disgust']
διαθέτω,0,0,1,0,0,0,0,0,['disgust']
διατεθειμένος,0,1,0,0,0,0,0,1,"['anticipation', 'trust']"
εκδιώχθηκε,1,0,0,1,0,1,0,0,"['anger', 'fear', 'sadness']"
διαμάχη,1,0,0,0,0,0,0,0,['anger']
αποκλεισμένη,1,0,1,0,0,1,0,0,"['anger', 'disgust', 'sadness']"
καθιστώ ακατάλληλο,0,0,0,0,0,1,0,0,['sadness']
αγνοείται,0,0,1,0,0,0,0,0,['disgust']
ανυπόληπτος,1,0,1,1,0,0,0,0,"['anger', 'disgust', 'fear']"
έλλειψη σεβασμού,1,0,0,0,0,0,0,0,['anger']
ασεβής,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
αναστάτωση,1,0,0,1,0,0,1,0,"['anger', 'fear', 'surprise']"
ανατομή,0,0,1,0,0,0,0,0,['disgust']
διαφωνία,1,0,0,0,0,0,0,0,['anger']
κακή υπηρεσία,1,0,1,0,0,1,0,0,"['anger', 'disgust', 'sadness']"
διαφωνών,1,0,0,1,0,0,0,0,"['anger', 'fear']"
διάλυση,1,0,0,1,0,1,1,0,"['anger', 'fear', 'sadness', 'surprise']"
παραφωνία,1,0,0,0,0,0,0,0,['anger']
αποστροφή,0,0,1,0,0,0,0,0,['disgust']
αηδιαστικός,0,0,1,0,0,0,0,0,['disgust']
διεστραμμένος,0,0,1,0,0,0,0,0,['disgust']
αποσπάται,1,0,0,0,0,0,0,0,['anger']
αποσπά την προσοχή,1,1,0,0,0,0,0,0,"['anger', 'anticipation']"
τρελός,0,0,0,0,0,1,0,0,['sadness']
δυσφορία,1,0,1,1,0,1,1,0,"['anger', 'disgust', 'fear', 'sadness', 'surprise']"
αγχωμένος,0,0,0,1,0,0,0,0,['fear']
δυστυχώς,1,0,0,1,0,0,0,0,"['anger', 'fear']"
δυσπιστία,1,0,1,1,0,0,0,0,"['anger', 'disgust', 'fear']"
διατάραξη,1,0,0,1,0,1,1,0,"['anger', 'fear', 'sadness', 'surprise']"
διαταραχθεί,1,0,0,0,0,1,0,0,"['anger', 'sadness']"
να εγκαταλειφθεί,1,0,0,0,0,0,0,0,['anger']
ποιηματάκι,0,0,0,0,1,0,0,0,['joy']
NO TRANSLATION,0,0,0,0,0,0,0,1,['trust']
αποκλίνων,0,0,0,0,0,0,1,0,['surprise']
εκτροπή,0,0,0,0,0,0,1,0,['surprise']
μαντεία,0,1,0,0,0,0,0,0,['anticipation']
διαζύγιο,1,0,1,1,0,1,1,1,"['anger', 'disgust', 'fear', 'sadness', 'surprise', 'trust']"
γιατρός,0,0,0,0,0,0,0,1,['trust']
δόγμα,0,0,0,0,0,0,0,1,['trust']
δόγμα,0,0,0,0,0,0,0,1,['trust']
απογοητεύσεις,0,0,0,0,0,1,0,0,['sadness']
βοήθημα ανεργίας,0,0,0,0,0,1,0,0,['sadness']
κούκλα,0,0,0,0,1,0,0,0,['joy']
NO TRANSLATION,0,0,0,0,0,1,0,0,['sadness']
δελφίνι,0,0,0,0,1,0,1,1,"['joy', 'surprise', 'trust']"
κυρίαρχο,0,0,0,1,0,0,0,0,['fear']
κατακυριεύω,1,0,0,1,0,0,0,0,"['anger', 'fear']"
κυριαρχία,1,0,0,1,0,1,0,0,"['anger', 'fear', 'sadness']"
κυριαρχία,0,0,0,1,0,0,0,1,"['fear', 'trust']"
υφηγητής,0,0,0,0,0,0,0,1,['trust']
Γάιδαρος,0,0,1,0,0,0,0,0,['disgust']
μοίρα,0,0,0,1,0,0,0,0,['fear']
καταδικασμένος,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
ημέρα της κρίσης,1,1,1,1,0,1,0,0,"['anger', 'anticipation', 'disgust', 'fear', 'sadness']"
αμφιβολία,0,0,0,1,0,1,0,1,"['fear', 'sadness', 'trust']"
αναμφίβολα,0,0,0,0,0,0,0,1,['trust']
περιστέρι,0,1,0,0,1,0,0,1,"['anticipation', 'joy', 'trust']"
ξεπεσμός,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
ευθύς,0,0,0,0,0,0,0,1,['trust']
παλιογυναίκα,0,0,0,0,0,1,0,0,['sadness']
προσχέδιο,0,1,0,0,0,0,0,0,['anticipation']
δράκων,0,0,0,1,0,0,0,0,['fear']
φόβος,0,1,0,1,0,0,0,0,"['anticipation', 'fear']"
